	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
TAG48:3FA14:1	1.6655	3.7678	0.9292	1.16	1.6253	1.0986	0.4707	0.1667	0.5505	1.4164	0.6108	0.3605	0.8111	0.5314	1.4923	0.6246	0.9505	1.1585	1.9883	0.4756	1.0686	1.8679	1.486	3.8458	1.281	1.4827	2.0875	2.2299	3.5124	1.3622	1.0432	2.0381	1.5144	1.6133	0.3182	0.6611	0.95	0.4487	0.4537	0.483	5.6933	2.5987	0.3771	0.21600000000000005	1.0987	0.6151	0.7386	0.5205	0.3796	0.8099	0.8688	0.4888	0.2204	4.7072	1.4368	2.3548	2.7609	0.4343	0.5229
TAG56:8FA20:5	2.5236	2.0298	9.8338	0.5879	0.4509	2.5286	2.1213	1.331	1.2528	0.293	0.4399	0.8486	1.0597	2.6056	2.6377	4.9351	0.7364	0.6082	2.23	0.26	0.2391	1.1251	1.026	0.3607	0.3799	1.3874	0.7665	0.6275	2.2201	0.6303	0.8468	0.5899	0.4355	7.1506	9.8525	0.5654	0.5407	1.0591	0.7584	0.6409999999999999	3.1085	1.4548	0.5995	0.9939	1.3472	0.8784	1.1858	1.1802	1.2011	0.5575	0.5605	0.7105	0.7227	1.2021	4.0099	10.9152	1.053	0.9023	0.4978
DAG(14:0/16:0)	0.3026	0.8589	0.1349	0.1712	0.2241	0.1622	0.0967	0.0585	0.1566	0.1797	0.0384	0.0746	0.0965	0.0485	0.262	0.0728	0.141	0.1813	0.3843	0.046	0.0812	0.4085	0.3149	0.6488	0.1253	0.1724	0.2701	0.5867	1.4127	0.2372	0.1995	0.373	0.2591	0.9009	0.0796	0.1009	0.0836	0.1013	0.0909	0.0723	0.6898	0.2917	0.0684	0.0485	0.2051	0.0958	0.201	0.1196	0.1	0.1401	0.1849	0.0538	0.0465	0.8814	0.2748	1.011	0.6592	0.0958	0.1327
SM(26:0)	0.2208	0.4356	0.307	0.298	0.3248	0.2708	0.3546	0.1799	0.1827	0.3153	0.2087	0.1967	0.278	0.2714	0.3468	0.3958	0.3152	0.3365	0.2873	0.3795	0.3989	0.3096	0.3486	0.3162	0.272	0.3143	0.3112	0.2505	0.2664	0.2666	0.2846	0.381	0.4599	0.3485	0.3268	0.3341	0.2564	0.4849	0.4247	0.2623	0.4311	0.2569	0.487	0.4320000000000001	0.3612	0.2435	0.1943	0.2791	0.2414	0.3006	0.3821	0.3329	0.2869	0.2794	0.2888	0.3285	0.4112	0.4064	0.2721
TAG51:4FA18:2	2.343	5.3454	3.2683	2.2303	2.0678	0.821	1.2257	1.2326	2.128	1.2022	1.7086	1.0382	2.0918	1.871	1.724	2.1153	1.2153	1.2171	3.1836	0.8476	1.6406	3.989	2.5383	2.7197	3.5449	1.6248	3.7231	2.1468	3.3169	1.5968	1.7016	2.0345	1.5239	3.9807	1.604	1.3071	1.2142	0.4188	0.5077	0.4486	5.0097	2.9066	0.9344	0.8209	2.0625	1.5266	1.5196	1.374	1.4142	1.6029	1.3722	1.7409	0.9707	4.3841	2.725	2.5718	1.3001	0.4578	1.1806
TAG56:7FA16:0	3.5694	4.8685	9.442	1.5308	1.4874	2.568	3.1752	1.6993	3.5473	1.1228	1.436	2.0069	2.2542	2.6945	7.002000000000002	8.6892	1.4593	1.4231	8.2807	0.4952	0.8986	4.2153	3.6559	1.5614	1.9662	4.2175	4.0891	2.7974	5.2011	2.4114	2.6851	1.3025	1.1286	6.3361	5.6391	0.6684	0.6898	1.3539	1.6745	0.7727	4.7288	3.9817	2.3109	1.0196	2.9278	2.7311	2.7253	2.1098	1.7909	1.9407	2.1896	0.8988	1.073	4.7001	7.9116	4.7261	2.3206	1.4775	1.0073
TAG48:4FA18:2	3.5278	4.2941	3.0158	11.1898	5.7349	0.8695	0.4435	0.5195	6.0103	0.8866	0.6717	0.5016	0.9494	0.754	1.0249	0.7731	0.6256	1.2661	10.9751	0.3626	1.0998	17.3773	2.2992	4.3428	1.8352	0.5866	1.7862	6.8238	19.5973	0.4987	0.4579	3.1165	2.4866	13.7483	2.9861	0.8269	1.0391	0.251	0.2467	0.2644	4.3049	1.888	0.6983	0.2819	1.3743	0.5646	1.6485	0.6938	0.8647	0.6727	0.698	2.4253	0.2828	4.3723	1.3808	2.2483	0.9375	0.1817	0.6802
TAG50:5FA18:3	1.3181	2.0497	1.4611	1.8346	1.4314	0.6585	0.3602	0.3115	0.8041	0.4267	0.4902	0.3992	0.8928	0.5945	0.9599	0.7301	0.4397	0.5278	1.5822	0.1594	0.5958	2.2183	1.085	1.8635	1.2153	0.6971	1.1758	1.3252	2.1172	0.5109	0.5449	0.9581	0.8693	2.293	0.3707	0.5561	0.5683	0.2267	0.2283	0.3064	2.9071	1.4497	0.1768	0.1581	0.6615	0.4268	0.4532	0.4262	0.5660000000000001	0.5584	0.5646	0.923	0.279	1.5877	1.0695	1.3814	0.7044	0.1397	0.3846
TAG53:0FA16:0	1.6736	1.6035	4.5479	0.3759	0.3282	1.1799	0.7778	0.3593	0.7417	0.292	0.2676	0.35200000000000004	0.6251	0.7608	1.3923	1.7169	0.344	0.4641	1.2584	0.0656	0.1603	0.8939	0.974	0.4739	0.3127	1.1348	0.6158	0.9548	2.4726	0.5112	0.6278	0.586	0.3869	2.358	1.7557	0.2856	0.3326	0.5061	0.447	0.2651	2.4437	1.001	0.3663	0.2534	0.795	0.5449	0.6211	0.5995	0.5559	0.4694	0.5363	0.2936	0.2603	1.2565	2.2666	4.1653	0.9156	0.43	0.2525
TAG44:1FA16:1	0.405	1.1543	0.1934	0.7427	0.9643	0.3153	0.0768	0.0471	0.1999	0.3991	0.0881	0.0895	0.0951	0.057	0.2586	0.0731	0.2222	0.3675	1.0747	0.0511	0.163	1.3967	0.244	2.1284	0.1901	0.3234	0.2645	1.7848	4.2549	0.249	0.1829	0.8740000000000001	0.7563	1.1796	0.1761	0.0978	0.1669	0.0894	0.1115	0.1166	1.8824	0.4769	0.1177	0.0298	0.2464	0.0911	0.32299999999999995	0.13	0.1817	0.1326	0.2188	0.0819	0.0428	1.3507	0.3422	1.3094	1.045	0.1324	0.1737
