MLR.clp.sc.ready.ignor.norm.qc.fillna.rl.mh.tsv
chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/2class_v2/MLR.clp.sc.ready.ignor.norm.qc.fillna.rl.tsv	/Users/m221138/RA_project/data/filled_qc_data/2class_v2/MLR.clp.sc.ready.ignor.norm.qc.fillna.mh.tsv
TAG55:5FA20:4	0.181097226554665	0.280881578947368	0.315965384615385
TAG58:6FA20:4	0.816563030229842	0.143564473684211	0.143028846153846
PE(O18:0/20:4)	0.626073716365323	2.08691578947368	2.00858269230769
DAG(18:2/18:3)	0.797953328469696	0.311602631578947	0.310640384615385
TAG48:4FA18:3	0.692908004522567	0.738152631578947	0.659230769230769
TAG52:0FA16:0	0.546277103645876	2.87506315789474	3.02040192307692
TAG58:9FA22:5	0.340029601258202	0.410984210526316	0.360340384615385
TAG58:9FA22:6	0.121764683957531	1.91937368421053	1.19997884615385
PE(P18:1/16:0)	0.260785686635496	0.203753947368421	0.184636538461538
DAG(14:0/18:2)	0.471400473854626	0.350151315789474	0.382534615384615
TAG54:0FA18:0	0.606041804014871	0.909025	0.765119230769231
TAG56:2FA16:0	0.174966222717476	0.199923684210526	0.245001923076923
TAG56:8FA22:5	0.539392206645878	0.502092105263158	0.463544230769231
PC(16:0/20:2)	0.936055424493864	5.51031578947368	5.60048269230769
PC(15:0/18:1)	0.591861397244795	0.740476973684211	0.775025961538461
TAG56:7FA18:2	0.786209170101355	3.28116315789474	3.20807307692308
LPE(18:1)	0.422309675110089	0.658465789473684	0.626444230769231
TAG50:2FA16:1	0.212513759550069	27.8422	33.9925211538462
PC(17:0/18:1)	0.362097122677311	1.29639473684211	1.31145961538462
DAG(16:0/18:1)	0.5367002228715	2.85455131578947	3.08608269230769
LPC(22:5)	0.314013723927253	0.334238815789474	0.314374038461538
TAG46:0FA18:0	0.872362649811805	0.941689473684211	0.705763461538462
PE(18:0/20:5)	0.429194141015297	2.17912105263158	1.96244038461538
LPE(22:4)	0.286721572384402	0.0556763157894737	0.0624942307692308
TAG46:1FA18:1	0.697649341289824	5.88903421052632	5.76423461538462
TAG58:10FA20:4	0.216801775910001	0.587963157894737	0.685959615384615
DAG(14:0/16:1)	0.0554485135660979	0.0642809210526316	0.0810778846153846
SM(24:0)	0.592228463657507	27.5009131578947	27.4497576923077
TAG53:6FA18:2	0.660081737851039	1.65761447368421	1.64539615384615
HCER(18:0)	0.0597148985981427	0.0722631578947368	0.0663384615384615
LPC(20:3)	0.679476333603954	1.80035263157895	1.79419038461538
TAG53:5FA18:2	0.153362297727692	11.4852815789474	11.2906288461538
TAG50:1FA18:0	0.185882338697217	5.00047763157895	5.92947307692308
TAG52:5FA20:3	0.307134575052895	0.331759210526316	0.370563461538462
PE(P16:0/22:5)	0.243410391379633	2.69822236842105	2.63013846153846
TAG44:0FA12:0	0.871493117378884	1.27192236842105	0.954711538461538
TAG55:6FA18:1	0.633871599008449	1.46542894736842	1.44765384615385
PC(20:0/18:2)	0.111418087445787	3.38975657894737	3.24974615384615
PE(P18:0/18:1)	0.707491312984677	1.06955789473684	1.0424
MAG(18:2)	0.566961735242153	0.110209210526316	0.102030769230769
TAG52:5FA18:2	0.251097843940016	18.9067947368421	17.2582384615385
SM(16:0)	0.350418224803119	170.139035526316	167.456494230769
TAG49:1FA18:1	0.122772765614389	2.54461052631579	3.08143461538462
FFA(14:0)	0.743442293662521	35.1311302631579	35.2121076923077
TAG56:4FA20:4	0.800178967836354	0.519498684210526	0.526053846153846
TAG46:2FA18:2	0.919784846909894	3.17470921052632	2.76994807692308
FFA(16:0)	0.912276793414577	634.377294736842	632.769119230769
TAG52:5FA22:5	0.671612281498985	0.401684210526316	0.427886538461538
PE(P18:1/20:3)	0.467889863933712	0.468057894736842	0.490578846153846
TAG56:8FA18:3	0.869420377234537	0.470286842105263	0.482057692307692
TAG46:3FA16:1	0.993983896979815	0.372805263157895	0.368942307692308
TAG50:1FA18:1	0.277648405328566	52.7942578947368	62.4271788461538
TAG44:0FA16:0	0.97156461695931	3.06637894736842	2.52900192307692
CE(22:5)	0.676728396818153	2.35027105263158	2.38425
TAG49:2FA16:1	0.161219901385041	0.754403947368421	0.915865384615385
TAG53:4FA18:1	0.788932524249553	17.4652184210526	17.3575903846154
