chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.r.tsv
100000263	0.845775068421835	1.2672	1.1221813559322
100021198	0.0390537869705906	1.15696363636364	1.10142203389831
100015967	0.198838872734792	5.33151818181818	1.15265762711864
278	0.792420608131347	1.28252727272727	1.05284237288136
519	0.0383365250321003	1.00519090909091	1.18686779661017
100009337	0.682911067035457	1.19193636363636	1.57078644067797
100002185	0.762587538668379	0.894509090909091	1.04506101694915
100001278	0.0368905995959122	1.20453636363636	1.25056101694915
100002103	error	1.14861818181818	1.04531016949153
980	error	1.0439	1.14363220338983
100000016	0.848704685909874	0.949690909090909	1.03551355932203
100020372	0.882246391267784	1.16684545454545	1.22956949152542
100001662	0.00602070775775238	1.10251818181818	1.03035084745763
100019972	0.548348999341576	0.855545454545455	1.22616440677966
254	0.919452178767094	1.69221818181818	2.08650677966102
100002009	0.891330365585787	4.94855454545455	3.77794915254237
100010895	0.559015405076037	1.09354545454545	1.0642406779661
1140	0.628013159166679	1.09737272727273	1.0543593220339
100008951	0.538959260201018	1.28332727272727	1.11413728813559
1084	0.537819090415945	1.06116363636364	1.07110847457627
100002796	0.773094859514807	0.876609090909091	1.27575084745763
358	0.866927465885521	1.50569090909091	1.26904237288136
100002070	0.986520817146047	1.01848181818182	1.01358644067797
1628	0.0149940853742749	2.91504545454545	1.60731355932203
823	0.732732619079436	1.0357	1.02336101694915
100004414	error	1.22550909090909	1.20781016949153
100006129	0.926502319832136	24.625	11.3929016949153
100002028	0.804513183688052	1.26451818181818	1.45194237288136
100021707	0.607656879585063	1.05844545454545	1.1407
100000054	0.776657155097415	1.22140909090909	0.981810169491525
100010869	0.565402895301666	1.37901818181818	1.07693050847458
100004575	0.566334522189973	1.00140909090909	1.24914406779661
100001212	0.0630512738553309	1.38792727272727	1.2358
818	0.159373590848595	1.19647272727273	0.998157627118644
100001092	0.741174428013668	0.953563636363636	1.64841355932203
100020371	0.0485127132408863	0.947163636363636	1.11247966101695
100004112	0.903230533137674	1.22759090909091	1.51555762711864
1125	0.0650332022428566	1.15019090909091	1.13517966101695
100020491	0.606551015536602	0.749409090909091	0.959101694915254
100003151	0.0750100980499682	0.892745454545455	1.12828813559322
100000011	0.0951961924911392	0.906772727272727	1.27077796610169
100003594	0.816632795725717	1.00036363636364	0.942854237288136
806	0.0450331966368408	1.23699090909091	1.06387457627119
100001211	0.532280346698351	0.970554545454545	1.40323898305085
100002417	0.742025435585547	1.41791818181818	1.70923050847458
100009335	0.0551262852793422	0.649990909090909	1.30039322033898
