chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.m.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.r.tsv
Total[FA26:0]	0.391974064306565	0.470095121951219	0.490840677966102
Total[FA20:4]	0.354542144749334	759.221617073171	719.866894915254
LPC[FA15:0]	error	0.184046341463415	0.197710169491525
Total[FA17:0]	0.547759529095674	199.251465853659	138.516840677966
Total[FA22:0]	0.262898785323231	62.4484317073171	64.7776542372881
MAG[FA16:1]	0.674096914073437	0.0512890243902439	0.0511754237288136
CE[FA20:1]	0.203833594429115	2.07888048780488	2.25676440677966
CE[FA22:2]	0.330328975206384	0.167717073170732	0.180084745762712
LPE[FA20:3]	0.618173841270091	0.155736585365854	0.156554237288136
FFA[FA14:0]	0.327293736034395	35.8353243902439	35.2963525423729
LPE[FA22:6]	0.664502043929909	0.194529268292683	0.209357627118644
Total[FA22:1]	0.888262749648	47.6736146341463	47.5003949152542
