chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.h.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.l.tsv
LPC[FA15:0]	3.97552198969209e-10	0.186590909090909	0.172676470588235
Total[FA17:0]	0.450265911953129	252.390781818182	105.563717647059
Total[FA22:0]	0.322994130413708	65.6607454545454	57.3958352941176
MAG[FA16:1]	0.751102916205336	0.0516727272727273	0.0517
CE[FA20:1]	0.833214122089286	2.03836363636364	2.06234117647059
CE[FA22:2]	0.453728004745091	0.163890909090909	0.192341176470588
LPE[FA20:3]	0.10371415740873	0.170118181818182	0.135452941176471
FFA[FA14:0]	0.704405633079463	32.8892090909091	34.5577117647059
LPE[FA22:6]	0.7751849925005	0.220418181818182	0.219388235294118
Total[FA22:1]	0.802243799459649	47.1662	45.9440352941176
TAG[FA22:5]	0.400227326798148	10.9806545454545	13.4928941176471
CE[FA22:6]	0.471794808531236	12.3785909090909	13.2452882352941
