chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.hd4.ready.ignor.norm.qc.fillna.r.tsv
100002094	error	0.977035294117647	1.13021355932203
1052	0.310749853053378	1.04145882352941	1.02062881355932
100020823	error	1.39622352941176	1.28477288135593
100001806	error	1.37024705882353	1.96954745762712
100006092	0.420739146138878	0.828076470588235	1.41570508474576
100001415	0.959971727961421	1.05522941176471	1.0237406779661
100000008	0.507458209714615	1.1105	1.03114576271186
565	error	0.987223529411765	1.05590677966102
100015851	0.945127312788436	1.10427058823529	1.16902203389831
100001866	0.522455614102603	1.11711176470588	1.05350169491525
100020546	error	1.39416470588235	1.86636440677966
100016110	0.698881439536379	1.162	0.94333220338983
100001254	error	1.08646470588235	1.15839322033898
100006260	0.392205709660423	0.847535294117647	1.10090169491525
826	0.0106238994026566	1.72315294117647	1.0258186440678
100001872	0.00453729368931241	1.11908823529412	1.2832813559322
100000263	0.669926156282214	1.16124705882353	1.1221813559322
100021198	0.160741985497109	1.08627058823529	1.10142203389831
100015967	0.730438847918793	1.23847647058824	1.15265762711864
278	0.14167982906861	0.981688235294118	1.05284237288136
519	error	1.01107058823529	1.18686779661017
100009337	0.292785795972432	1.45114117647059	1.57078644067797
100002185	0.553780241657946	0.942323529411765	1.04506101694915
100001278	0.539776535882122	1.20535294117647	1.25056101694915
100002103	0.308239619654484	1.22525882352941	1.04531016949153
980	error	1.06859411764706	1.14363220338983
100000016	0.67709112064554	0.943641176470588	1.03551355932203
100020372	0.553785703736925	1.01892941176471	1.22956949152542
100001662	0.482822147236054	1.01873529411765	1.03035084745763
100019972	0.927341697313271	1.26875294117647	1.22616440677966
254	error	3.30105294117647	2.08650677966102
100002009	0.514479779735656	1.3574	3.77794915254237
100010895	0.323891801343776	0.967217647058824	1.0642406779661
1140	0.302963389454102	0.967052941176471	1.0543593220339
100008951	0.0723688639162329	0.836105882352941	1.11413728813559
1084	0.417428475167036	1.07585882352941	1.07110847457627
100002796	0.549353173373051	1.15336470588235	1.27575084745763
358	0.406206644191609	1.18932352941176	1.26904237288136
100002070	0.435661405412249	1.01272941176471	1.01358644067797
1628	0.327511467928265	1.45818823529412	1.60731355932203
823	0.786455847798563	1.03272941176471	1.02336101694915
100004414	error	1.01817058823529	1.20781016949153
100006129	0.485588774947505	0.969564705882353	11.3929016949153
100002028	0.453153416803338	1.54507647058824	1.45194237288136
100021707	0.14332447884268	0.907764705882353	1.1407
100000054	0.0574528166367307	1.0205	0.981810169491525
100010869	0.934876895323245	1.12583529411765	1.07693050847458
100004575	0.513175345840414	1.17406470588235	1.24914406779661
100001212	0.0108465077568154	1.87611764705882	1.2358
818	0.310637749727834	1.03369411764706	0.998157627118644
100001092	0.830994614388465	1.36137058823529	1.64841355932203
100020371	error	1.27469411764706	1.11247966101695
100004112	0.101579247479812	1.24435882352941	1.51555762711864
1125	0.0533681409363509	0.743011764705882	1.13517966101695
100020491	0.145203997083925	1.41668823529412	0.959101694915254
100003151	error	1.10604705882353	1.12828813559322
100000011	0.609388818628918	1.34388235294118	1.27077796610169
100003594	0.993147350436192	0.753147058823529	0.942854237288136
806	0.952464458607943	1.02141764705882	1.06387457627119
100001211	0.604400794199974	1.10631764705882	1.40323898305085
100002417	0.318547132202262	1.97448235294118	1.70923050847458
100009335	0.495617144037518	1.45941176470588	1.30039322033898
100000781	0.221435363184733	1.48161764705882	1.13066949152542
803	0.00581572140441224	1.2601	0.984132203389831
