chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.l.tsv	/Users/m221138/RA_project/data/filled_qc_data/MLR.clp.fac.ready.ignor.norm.qc.fillna.r.tsv
LPC[FA15:0]	0.359144959758878	0.172676470588235	0.197710169491525
Total[FA17:0]	0.944746234546596	105.563717647059	138.516840677966
Total[FA22:0]	0.128011028568374	57.3958352941176	64.7776542372881
MAG[FA16:1]	0.44711091386882	0.0517	0.0511754237288136
CE[FA20:1]	0.351620511845808	2.06234117647059	2.25676440677966
CE[FA22:2]	error	0.192341176470588	0.180084745762712
LPE[FA20:3]	0.49737306415623	0.135452941176471	0.156554237288136
FFA[FA14:0]	0.56234390068823	34.5577117647059	35.2963525423729
LPE[FA22:6]	0.60367959218063	0.219388235294118	0.209357627118644
Total[FA22:1]	0.836091295357614	45.9440352941176	47.5003949152542
TAG[FA22:5]	error	13.4928941176471	13.5596745762712
CE[FA22:6]	error	13.2452882352941	12.9400813559322
CER[FA16:0]	error	0.385888235294118	0.41306779661017
