chemID	pval	/Users/m221138/RA_project/data/filled_qc_data/2class/MLR.clp.sc.ready.ignor.norm.qc.fillna.r.tsv	/Users/m221138/RA_project/data/filled_qc_data/2class/MLR.clp.sc.ready.ignor.norm.qc.fillna.other.tsv
TAG56:8FA16:1	0.888676287660514	0.315215254237288	0.283279710144928
TAG58:9FA20:4	0.103198294552581	0.716927118644068	0.842628985507246
PE(16:0/18:1)	0.675091324021542	0.851184745762712	0.912469565217391
DAG(16:1/16:1)	0.966318000805709	0.0930016949152542	0.0981202898550725
PC(18:1/22:6)	0.990472444937381	3.42973559322034	3.25583188405797
TAG52:4FA20:2	error	0.256033898305085	0.239559420289855
TAG42:0FA16:0	0.313063662901987	1.37745593220339	0.949855072463768
TAG52:2FA20:1	0.910972322807128	0.562079661016949	0.592265217391304
TAG52:4FA16:1	0.458369247118936	23.0710915254237	21.8222333333333
TAG58:8FA22:5	0.533763235778396	0.887410169491525	0.793782608695652
TAG56:8FA16:0	0.912210334585598	1.17118474576271	1.01856231884058
FFA(20:2)	1.15581048463458e-23	11.2511813559322	6.27333623188406
TAG46:3FA18:1	error	0.578371186440678	0.521439130434783
TAG50:4FA20:4	0.648512199565281	0.502877966101695	0.590571014492754
TAG53:2FA17:0	0.83325293524387	3.17454745762712	3.16219855072464
PE(18:1/18:2)	0.223996368579189	2.15230508474576	1.98208695652174
TAG51:1FA17:0	0.945590213863565	2.33793728813559	2.53108695652174
TAG54:2FA20:2	0.658610671600928	0.291598305084746	0.293724637681159
TAG56:6FA18:1	0.928666098513648	5.46237118644068	5.41670434782609
FFA(22:1)	0.480051637073296	11.9522271186441	12.5571449275362
LPC(16:1)	0.566990420645303	1.02059661016949	1.03130289855072
PC(14:0/20:3)	0.504720764256921	0.94775593220339	0.997482608695652
TAG48:3FA12:0	0.159546747743812	3.92117796610169	2.52760579710145
TAG54:6FA16:0	0.935473687898579	3.46879830508475	3.48329130434783
TAG46:0FA14:0	0.710380834708123	3.07213728813559	3.14363333333333
FFA(22:5)	0.390763186888732	4.50979661016949	4.59072898550725
TAG56:2FA20:1	0.465298474343686	0.377171186440678	0.340850724637681
TAG58:5FA18:1	0.740582838189606	0.191210169491525	0.193872463768116
TAG50:4FA20:3	0.825699924934936	0.126686440677966	0.130905797101449
TAG52:1FA20:0	0.606268343397809	0.321076271186441	0.346468115942029
PE(O18:0/22:5)	0.549206095830757	0.464584745762712	0.43826231884058
TAG53:7FA18:3	0.416195635123915	0.342422033898305	0.336205797101449
TAG50:3FA18:0	error	0.354772881355932	0.320614492753623
TAG46:3FA18:3	error	0.430045762711864	0.258223188405797
TAG54:7FA18:1	0.135899310579064	0.931908474576271	0.721604347826087
TAG55:4FA18:2	0.0349028481542121	0.518101694915254	0.431266666666667
PE(P18:0/22:6)	0.79504728185305	7.41841694915254	7.16969855072464
FFA(18:1)	0.395399729084346	119.440074576271	126.521556521739
TAG50:5FA20:4	0.952399014124049	0.287820338983051	0.31003768115942
TAG53:3FA18:1	0.576989351364114	11.3123203389831	11.1280391304348
TAG50:5FA16:1	error	0.317338983050847	0.316191304347826
TAG50:4FA16:1	error	2.75782711864407	2.72553623188406
TAG52:4FA20:4	0.434092533925904	2.4133186440678	2.97950144927536
PC(18:1/20:5)	0.699670722008185	2.12707542372881	1.83088913043478
DAG(18:2/20:4)	0.206463394567028	0.441410169491525	0.508831884057971
TAG54:7FA18:2	0.197588126831102	5.57695423728814	4.11628115942029
TAG56:7FA22:4	0.712075170178356	0.175406779661017	0.185497101449275
DAG(18:2/22:6)	0.916003282381778	0.123537288135593	0.10073768115942
TAG49:2FA15:0	error	1.52743050847458	1.56207536231884
TAG46:3FA12:0	error	0.568425423728814	0.373092753623188
TAG47:0FA16:0	0.646857949855675	0.8323	0.847059420289855
PC(18:2/18:2)	0.057758782308966	16.2588745762712	14.1360217391304
PC(18:2/20:3)	0.456632075897059	2.26236440677966	2.20710144927536
CE(15:0)	0.572679756145298	6.79306949152542	6.17053333333333
TAG54:1FA16:0	0.991524051441314	0.808194915254237	0.80698115942029
TAG49:2FA17:0	0.805770789764419	0.269023728813559	0.279071014492754
TAG54:8FA18:3	0.142016783363719	0.778750847457627	0.551395652173913
DAG(16:1/18:0)	0.239548764835534	0.18954406779661	0.209866666666667
PC(16:0/18:0)	0.322537586491759	13.6750508474576	13.4219913043478
TAG54:5FA18:3	0.0712813434715357	9.61980847457627	7.69453623188406
LPE(20:3)	0.476858268059409	0.156554237288136	0.153031884057971
TAG55:1FA18:1	0.342963046895871	0.712879661016949	0.535288405797101
TAG55:2FA18:2	0.548433398215825	0.53815593220339	0.411259420289855
PC(18:0/20:4)	0.524315047718471	89.9299559322034	93.9278
TAG54:5FA20:3	0.864434559172734	3.18790508474576	3.34034927536232
TAG56:3FA20:1	0.451419357463808	1.27996101694915	1.1112231884058
TAG48:3FA14:1	error	1.32956610169492	1.44028550724638
TAG56:8FA20:5	0.386182199490635	1.75588644067797	1.14773768115942
DAG(14:0/16:0)	0.803509116686039	0.262877966101695	0.26205652173913
SM(26:0)	0.382525131252693	0.317598305084746	0.297224637681159
TAG51:4FA18:2	error	1.97175254237288	1.78315797101449
TAG56:7FA16:0	0.760027717615943	2.95911186440678	2.6221884057971
TAG48:4FA18:2	0.135725992913658	2.75025254237288	1.64818405797101
TAG50:5FA18:3	error	0.880937288135593	0.756620289855072
TAG53:0FA16:0	0.654864965606887	0.901835593220339	0.76293768115942
TAG44:1FA16:1	0.625431539081198	0.507342372881356	0.494315942028985
TAG60:11FA22:6	0.753195206204888	0.256303389830508	0.215801449275362
LPC(20:0)	0.13996124284788	0.380691525423729	0.358147826086957
TAG52:4FA14:0	0.886524322396501	0.422625423728814	0.438404347826087
TAG53:6FA18:1	0.829082922656394	2.83766271186441	2.83313333333333
PI(18:1/18:2)	0.210549236255468	1.00526610169492	0.929376811594203
TAG52:4FA18:0	error	0.351406779661017	0.33464347826087
PE(18:1/20:3)	0.938571961670367	0.306972881355932	0.314573913043478
MAG(16:1)	0.617795817357062	0.0511754237288136	0.0514514492753623
SM(22:0)	0.359824590162525	56.128013559322	53.1077942028986
TAG55:8FA20:4	0.332253036391033	0.391693220338983	0.395917391304348
TAG58:6FA18:1	0.775421573688718	0.591471186440678	0.584785507246377
TAG56:5FA16:0	0.741491534923344	1.28774576271186	1.40716956521739
DAG(18:2/20:5)	0.765349089051692	0.196762711864407	0.135611594202899
TAG58:2FA18:1	0.66717503574498	0.429316949152542	0.451427536231884
CE(22:0)	0.844014799236801	0.77826779661017	0.733705797101449
TAG54:5FA22:4	0.588791815259969	0.319837288135593	0.384023188405797
TAG58:3FA18:1	0.798961006236391	0.280371186440678	0.283702898550725
TAG56:3FA20:2	0.356796867929496	0.225127118644068	0.212349275362319
TAG52:2FA18:2	1.13810302823966e-81	22.9807745762712	22.2715652173913
TAG53:4FA16:0	0.600648062071356	0.295842372881356	0.291505797101449
LCER(22:1)	0.509700532757845	0.0675559322033898	0.0653985507246377
LPC(20:4)	0.460730572244312	2.43090677966102	2.43381594202899
TAG48:2FA12:0	error	4.03465762711864	2.70021594202899
TAG58:7FA22:4	0.930145764748517	0.29338813559322	0.299466666666667
PC(18:0/18:0)	error	1.09748644067797	1.07839565217391
CE(18:3)	0.483991423560867	48.5819644067797	46.2389971014493
TAG51:4FA20:4	0.481866145389924	0.135342372881356	0.155986956521739
TAG56:4FA20:2	0.440741766844756	0.807408474576271	0.758182608695652
DAG(15:0/18:2)	0.515581032797059	0.274464406779661	0.274352173913043
TAG46:1FA16:0	0.515423485568269	6.31898305084746	5.30799710144928
DAG(16:0/16:0)	0.772180977816491	0.796333898305085	0.828336231884058
TAG54:5FA18:2	4.31905906140818e-51	53.2664203389831	44.6818304347826
TAG42:1FA12:0	0.359404706451241	1.12829152542373	0.489578260869565
DAG(18:1/20:2)	0.722057833540729	0.155089830508475	0.159936231884058
TAG52:7FA16:0	0.522817216075704	0.515618644067797	0.486263768115942
