	ST-00010415_t1	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044885_t1	ST-00044885_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00128432_t1	ST-00128432_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00339988_t2	ST-00360236_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00597582_t1	ST-00597582_t2	ST-00611296_t1	ST-00611296_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00632345_t2	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t2	ST-00705243_t1	ST-00705243_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00723045_t1	ST-00723045_t2	ST-00731125_t1	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t2
DAG[FA22:5]	0.2865	0.5782	0.6613	0.1476	0.1918	0.2324	0.3193	0.1259	0.3875	0.1435	0.156	0.1647	0.2428	0.2286	0.5402	0.6089	0.1837	0.1839	0.6161	0.1127	0.14300000000000002	0.4449	0.4819	0.1631	0.2578	0.4806	0.5553	0.2993	0.4265	0.4385	0.4621	0.2117	0.2515	0.5429	0.3523	0.1273	0.1236	0.1132	0.1339	0.1067	0.3395	0.489	0.3388	0.1022	0.457	0.3193	0.3785	0.2007	0.1624	0.2466	0.2621	0.134	0.1701	1.0134	0.6457	0.3935	0.3011	0.1592	0.1702
CE[FA12:0]	0.3156	0.4624	0.2819	2.3006	1.7798	0.878	0.4258	0.3205	1.6055	1.4666	0.2291	0.742	0.2358	0.2643	0.3621	0.4223	0.4982	1.1784	2.8962	0.6042	0.6975	1.0357	0.807	1.9677	1.0222	0.3807	0.5628	2.4602	2.2047	0.4475	0.5315	1.0566	4.3579	1.1358	0.3181	0.3003	0.3833	1.0077	0.5254	0.2311	1.8158	0.6411	1.995	0.3136	0.7954	0.2917	0.3649	0.2612	0.2267	0.5938	1.0955	0.5264	0.3307	0.7829999999999999	0.3208	0.5621	0.6023	1.0038	0.2529
LPE[FA16:0]	0.759	1.1634	0.965	0.9676	0.959	0.7729	0.4909	0.5911	0.682	1.2417	0.7108	0.7925	0.5589	0.6314	1.0501	1.0546	0.7519	0.7157	1.4527	0.8071	0.6828	1.1515	1.3123	0.8952	1.1055	0.96	1.0101	1.1589	1.1466	0.7845	0.8196	1.3758	0.6562	0.7317	0.8312	0.6473	0.6517	1.0714	0.8153	0.6791	1.7822	1.4856	0.8247	0.6837	0.5325	0.6373	0.7276	0.551	0.4284	0.5458	0.6634	0.8589	0.8897	1.1126	0.8717	1.7724	1.4957	0.62	0.924
PC[FA16:1]	15.4544	29.0397	18.7986	37.4752	42.4701	31.2991	30.925	14.2641	17.285999999999998	35.958	20.3803	19.0507	24.6955	25.7854	32.6646	23.5411	29.2112	22.9128	21.3643	46.0942	44.5473	29.6037	26.56	49.4726	52.3353	49.0542	48.2892	28.8558	34.2065	31.882	33.7331	42.9062	41.4213	18.181	11.7986	23.5122	34.3997	35.8584	27.5197	46.5166	48.2805	38.7917	23.5967	26.2887	24.7141	18.5763	22.5687	14.8595	13.3499	24.1443	25.7171	26.2085	25.2924	35.6416	35.2514	34.916	46.0148	30.9252	19.5838
DAG[FA16:1]	2.5033	4.1619	2.4914	2.1461	3.4038	1.9763	1.8811	0.8515	1.7495	2.3238	1.6917	1.2473	2.5234	1.8507	4.2354	2.7146	2.1356	1.5581	2.3446	1.6882	2.9065	3.3075	2.4542	4.6342	3.5707	4.6359	6.4133	4.9531	6.2120000000000015	4.2353	3.615	2.2081	2.3389	2.1966	1.1612	1.3101	1.6602	1.1108	0.9586	1.743	5.4615	5.6059	1.5977	0.6924	2.3135	1.9244	2.2343	1.2622	0.9737	2.4345	2.4159	0.8663	0.7936	5.949	4.0341	4.9771	4.3143	1.4735	1.7089
FFA[FA22:4]	3.2972	2.6767	2.8734	9.6156	8.62	3.0804	3.3631	3.293	3.1654	2.5522	3.645	3.4503	4.0178	3.7625	3.1627	3.1021	4.1878	3.3388	2.8444	5.5715	6.263	2.6199	3.6107	2.7853	2.7067	3.9245	3.1702	6.231	3.1939	2.9219	3.0276	3.6818	3.5411	3.0393	2.8363	2.9427	2.9809	3.1725	2.824	4.5486	2.6221	2.3482	3.4498	2.5584	2.8535	2.4212	2.6215	3.483	3.3669	3.1999	3.2737	2.1456	2.5448	2.8787	2.8995	2.8291	3.6012	3.8232	4.3662
FFA[FA18:4]	3.2444	2.7313	3.2101	2.7132	2.8273	3.0994	3.265	3.6267	3.29	2.647	3.1394	3.129	2.7255	2.2863	3.1694	3.1456	3.8732	3.3652	2.8146	3.4081	3.2310000000000003	2.461	3.5306	2.3028	2.1942	2.925	2.5883	4.2359	2.7775	3.6923	3.4857	3.3432	3.3924	3.8488	3.5354	3.2658	3.7904	2.8527	2.8555	3.8431	2.7695	2.8886	3.2559	2.9729	3.1656	2.6421	3.0333	3.2058	3.04	3.2158	3.2046	2.5838	2.4147	2.7524	2.8953	3.1352	3.5635	3.0315	3.1698
Total[FA26:0]	0.3297	0.5543	0.5414	0.399	0.4197	0.4492	0.5478	0.3698	0.3589	0.4964	0.4704	0.4123	0.4339	0.4204	0.47	0.5401	0.5438	0.5645	0.419	0.5551	0.5327	0.6395	0.4961	0.478	0.4624	0.6368	0.4854	0.4124	0.7462	0.3784	0.3953	0.5742	0.5659	0.4913	0.4522	0.4354	0.3679	0.6255	0.5825	0.4487	0.7657	0.3784	0.6283	0.5841	0.5604	0.3735	0.2994	0.4339	0.3809	0.4321	0.5316	0.4584	0.4017	0.4514	0.4257	0.4422	0.5894	0.6976	0.6224
Total[FA20:4]	654.614	1004.825	691.4791	445.8188	461.4621	504.6456	656.7622	393.175	539.1052	435.2735	609.2514	444.6737	730.7222	834.7264	1224.978	973.8519	1112.548	869.936	653.3848	423.2178	469.4149	810.7773	785.6419999999998	463.0776	528.2256	952.5524	759.3217	541.2269	666.0578	1019.579	1258.219	913.3045	933.1093	528.9173	463.6987	358.7905	416.9378	931.1445	831.5392	761.6447	834.2916	821.0868	1004.131	606.323	1107.918	719.3845	723.315	591.323	570.2178	657.5223	718.0887	720.6761	718.4612	947.5118	819.7467	748.1117	772.8382	767.1536	566.4144
LPC[FA15:0]	0.1866	0.2019	0.2802	0.2506	0.1822	0.1582	0.1471	0.1958	0.2174	0.185	0.2298	0.1926	0.05045	0.05045	0.2533	0.2061	0.2337	0.1965	0.2775	0.05045	0.05045	0.1741	0.1479	0.2306	0.1913	0.2949	0.2729	0.05045	0.05045	0.2196	0.1996	0.262	0.2887	0.2377	0.165	0.1835	0.1449	0.2319	0.2057	0.1688	0.483	0.27	0.2742	0.2195	0.211	0.1959	0.1558	0.05045	0.05045	0.1688	0.213	0.1927	0.1493	0.2563	0.2207	0.3436	0.2218	0.1983	0.2738
Total[FA17:0]	41.029	91.2903	49.956	36.0378	40.4058	34.2552	32.6559	30.094	42.7157	42.4951	48.6823	38.5151	1148.203	1103.131	52.9855	54.4368	51.8814	48.494	56.0521	38.1855	38.991	54.0681	48.7745	961.3728	1036.486	49.8911	1326.649	45.1675	63.075	54.2939	56.5793	60.3122	51.8685	63.316	40.4048	33.9619	36.1062	44.4379	40.7785	32.5368	86.2431	65.5644	58.7354	40.2104	53.6073	39.8222	43.5794	36.7743	34.9118	42.4521	42.322	37.4418	36.9418	63.0113	54.3174	64.8292	61.5075	45.4793	44.1704
Total[FA22:0]	44.8455	82.7791	42.8266	73.5769	71.8448	57.4843	70.7722	36.5309	44.7472	67.2672	38.2002	39.8433	53.8166	56.4188	76.0203	77.20100000000002	69.93	87.9322	55.0966	82.7524	88.3382	65.0795	72.5739	69.893	72.9707	59.0862	83.7824	57.2953	57.6667	64.7529	74.3602	75.4975	69.4147	69.3593	70.6029	63.37	63.6132	82.8014	73.3045	60.8327	83.6315	58.925	77.3343	77.982	63.4312	40.8771	37.629	47.9848	48.4337	65.3893	68.8879	78.242	60.667	65.476	54.9733	73.2313	77.1709	68.3429	48.7911
MAG[FA16:1]	0.0399	0.0615	0.0589	0.0456	0.0247	0.0553	0.049	0.0395	0.0465	0.0586	0.0677	0.0685	0.0448	0.0525	0.0576	0.0461	0.0585	0.0798	0.0543	0.0607	0.0421	0.0491	0.0445	0.0856	0.0895	0.0536	0.01235	0.061	0.081	0.0577	0.0548	0.0484	0.0415	0.0447	0.0332	0.0361	0.0413	0.0392	0.0574	0.0486	0.0784	0.035	0.0526	0.0464	0.0508	0.0341	0.0469	0.043	0.0577	0.0253	0.0311	0.0471	0.0288	0.0614	0.0574	0.0599	0.0761	0.0557	0.04
CE[FA20:1]	1.0585	2.9547	1.7672	1.4913	1.9535	2.6236	3.4517	2.9274	2.3705	3.2096	2.2775	1.7964	2.222	2.0262	2.3485	2.1134	2.2223	2.5666	2.5553	2.0681	2.872	2.9707	2.5014	2.2773	2.1751	2.5072	2.1581	2.1282	1.5116	1.9567	2.8523	1.8873	2.2521	2.314	2.2192	3.0213	1.8029	2.9651	2.7692	1.6923	2.5513	0.9812	3.4048	2.9417	2.4853	1.3008	1.4798	1.7893	2.658	1.7079	2.3372	1.5988	1.9473	2.1278	1.8057	1.7101	2.6945	2.5359	2.2534
CE[FA22:2]	0.1288	0.223	0.1382	0.0905	0.1183	0.1498	0.1827	0.1325	0.1155	0.2043	0.1382	0.112	0.1225	0.1528	0.6083	0.3018	0.1711	0.1987	0.1435	0.1173	0.1489	0.1478	0.1648	0.1513	0.1741	0.254	0.188	0.1413	0.1513	0.1757	0.39	0.2274	0.2157	0.1436	0.1592	0.2262	0.1519	0.2573	0.1956	0.1521	0.2132	0.1541	0.263	0.1877	0.2158	0.1242	0.1447	0.1394	0.1635	0.1855	0.241	0.1451	0.0977	0.1575	0.1412	0.1425	0.2009	0.2008	0.1412
LPE[FA20:3]	0.1092	0.2094	0.0955	0.2539	0.2626	0.1115	0.0929	0.0427	0.0796	0.155	0.1084	0.1119	0.1486	0.1441	0.1403	0.1057	0.1943	0.115	0.1493	0.2904	0.1441	0.2022	0.2129	0.2012	0.2174	0.1077	0.1657	0.1812	0.2603	0.1643	0.1543	0.1507	0.1208	0.0567	0.0348	0.2258	0.2322	0.0957	0.0802	0.2198	0.3087	0.2866	0.0762	0.1153	0.0981	0.1194	0.1409	0.1098	0.0883	0.1304	0.115	0.182	0.2072	0.226	0.1164	0.2368	0.2618	0.1132	0.1563
FFA[FA14:0]	35.4767	32.6974	28.1506	26.259	32.8829	31.8173	33.021	25.9967	33.8928	24.5756	41.147	30.3356	41.93600000000001	33.3651	29.374	25.2064	55.5556	53.5008	27.2656	50.9187	40.4341	30.3737	29.6242	38.7177	33.9654	37.7604	46.5041	55.8442	31.8195	36.2162	35.4794	40.5396	53.4528	37.7196	28.1509	31.3938	31.8118	32.13	30.8906	41.7112	36.9001	28.3374	40.5586	27.7082	32.9109	25.7967	29.4063	27.7916	31.2005	38.0473	31.2159	29.5852	39.5186	31.9575	35.4506	27.3678	49.3901	53.1984	28.2291
LPE[FA22:6]	0.2339	0.2676	0.282	0.1722	0.1724	0.2316	0.1937	0.16899999999999998	0.2152	0.1303	0.2032	0.2618	0.1646	0.1415	0.3185	0.3418	0.199	0.1409	0.3667	0.1561	0.0998	0.3343	0.2399	0.0939	0.1116	0.2691	0.2339	0.3266	0.2126	0.2436	0.2678	0.2135	0.1856	0.2619	0.2014	0.0822	0.0633	0.2647	0.2446	0.1379	0.321	0.2458	0.1635	0.1141	0.1419	0.1112	0.1194	0.1585	0.1477	0.1386	0.1261	0.1391	0.2088	0.2329	0.4146	0.4158	0.3297	0.2108	0.1624
Total[FA22:1]	33.8177	53.765	34.5314	49.9032	49.8547	47.2591	49.1469	33.8979	36.9748	40.4916	37.393	36.8578	39.8511	43.1841	55.7352	54.3075	55.9653	54.5301	43.0816	61.5588	59.793	43.1098	46.7557	45.849	56.8572	45.9486	58.3232	48.603	45.1356	42.0153	49.1117	53.3891	51.5614	44.3659	44.3231	42.8727	42.1002	60.2755	54.0712	48.351000000000006	54.0963	49.5153	63.0177	60.7497	56.3538	39.8336	39.6308	36.1821	35.4642	46.4931	45.8343	50.5061	47.7821	45.4568	40.7226	47.1515	57.3319	51.0963	40.3861
TAG[FA22:5]	13.172	26.7402	36.3901	7.234	7.2631	9.5936	12.5093	5.8374	11.8786	6.4551	8.0991	8.1348	11.7729	13.4037	29.0077	28.5409	8.4736	7.9972	28.0891	3.2529	5.1761	20.567	17.3992	9.7372	11.4757	17.7296	19.3303	12.8797	23.3421	13.5554	14.8419	8.7949	7.3878	23.6666	19.0283	3.9522	4.1294	5.5999	6.7469	4.8862	21.2564	22.005	12.2046	5.1023	18.2152	14.3312	14.5851	9.9134	7.5474	10.3678	9.8395	6.3897	6.5629	36.6711	26.4727	17.7385	12.9887	7.6115	6.1461
CE[FA22:6]	10.4691	11.3098	16.0182	8.0415	10.7201	14.6038	18.8833	12.983	15.7323	8.2175	12.5109	16.4396	7.1685	7.8265	28.8409	38.1403	10.5133	11.0361	22.2454	3.2642	5.3802	12.6226	12.2057	4.5546	6.402	19.1154	15.3007	11.752	9.2529	10.9254	15.4659	14.1577	15.075	18.9164	16.4275	5.0697	4.6748	21.3766	23.6713	4.4245	15.7071	7.685	21.7657	12.6423	16.1492	8.5889	7.6219	9.9415	11.5512	11.6783	14.0184	6.5798	8.8765	7.9863	21.4409	15.8442	13.5314	12.495	7.626
CER[FA16:0]	0.3043	0.5747	0.3302	0.4162	0.3869	0.3247	0.3943	0.2223	0.2444	0.4611	0.2883	0.278	0.3958	0.433	0.4426	0.3987	0.3502	0.4824	0.3667	0.4335	0.435	0.5785	0.5168	0.5784	0.6295	0.4051	0.503	0.4048	0.5589999999999999	0.3909	0.4991	0.4015	0.4156	0.4809	0.3706	0.2276	0.2839	0.4262	0.4622	0.401	0.5916	0.3679	0.6177	0.441	0.3964	0.3533	0.3693	0.259	0.2361	0.4872	0.4876	0.3031	0.3148	0.5761	0.4272	0.3703	0.4089	0.4251	0.4405
PC[FA18:1]	260.269	397.9824	270.0932	341.8374	374.6031	349.0464	335.0273	223.7373	293.0355	402.7404	271.5754	285.8649	331.527	347.9905	521.2288	422.881	419.5825	350.2323	374.5642	547.3969999999998	468.5907	394.1036	393.9181	486.3421	495.0721	425.9018	524.9513	315.7476	390.8855	444.5529	464.7772	500.386	443.0964	329.8696	261.7075	310.3632	338.9333	438.9851	347.6739	489.9291	503.2431	450.4995	406.0531	373.7714	303.9865	301.6768	316.206	217.9682	206.4056	320.8103	322.705	443.3139	338.6330000000001	380.3457	358.0594	445.9221	493.8658	361.6218	298.6893
DAG[FA16:0]	11.5554	21.5183	10.0785	8.2122	7.7393	5.6919	5.2905	3.1672	6.9431	8.1182	3.7146	3.3229	5.7901	5.0795	13.5595	8.7064	5.7605	5.4296	9.1246	3.3991	5.0806	14.3104	19.9435	13.4932	8.0555	10.9729	17.3021	16.2836	35.9745	10.0186	9.3162	8.2226	6.3886	14.6905	7.5585	3.5429	4.4596	3.3208	2.5815	3.5098	17.6536	13.4116	5.0883	2.4409	7.135	5.4833	8.6773	5.1332	3.2796	8.2842	9.8103	3.3904	3.1343	23.9794	13.3691	26.9513	13.2878	4.3934	7.9761
DAG[FA20:5]	0.9216	0.5756	2.3237	0.1145	0.1594	0.9045	0.5666	0.2365	0.5089	0.0907	0.0933	0.1656	0.272	0.4132	0.7526	1.0918	0.2166	0.1915	0.6743	0.0998	0.0729	0.3463	0.4602	0.1227	0.1012	0.5324	0.3072	0.3068	0.4262	0.3469	0.3975	0.1804	0.2222	3.3922	1.7714	0.1121	0.1868	0.3245	0.1556	0.1647	0.8414	0.5076	0.1675	0.1573	0.2977	0.2514	0.3562	0.2486	0.2189	0.2015	0.2679	0.1239	0.1352	0.4369	2.0118	4.7243	0.4747	0.254	0.1493
PC[FA20:0]	5.4564	9.8086	5.5276	8.1112	7.6734	6.9282	7.5224	5.8609	6.7879	7.4885	4.716	4.3039	5.2617	7.711	7.8146	9.0531	6.2572	6.3906	7.1162	8.3467	8.4627	8.2281	8.4644	9.5507	8.5793	8.9906	8.2341	6.2027	7.1829	9.7552	8.7774	10.5932	9.8572	7.3642	6.7227	7.5252	6.8535	9.296	6.6264	6.6621	9.519	8.1896	8.088	7.6568	7.0762	5.6664	5.5747	5.3274	5.5739	7.4289	7.7752	7.8145	6.9383	11.6165	7.832000000000002	8.3368	8.3854	6.0426	5.7723
TAG[FA22:1]	0.8468	1.7313	1.3402	1.2105	0.7975	0.3882	0.4953	0.6411	0.8109999999999999	0.6269	0.5698	0.4972	0.8181	0.983	1.4506	1.5596	0.433	0.4037	1.2666	0.5293	0.7333	1.5999	1.2146	0.9187	1.4116	0.6815	1.5719	0.8374	1.7632	0.5634	0.6547	0.552	0.3767	1.1965	1.2504	0.3532	0.456	0.1634	0.1678	0.2789	1.3267	1.2195	0.3326	0.3809	0.6155	0.6338	0.6989	0.5720000000000001	0.4320000000000001	0.6679	0.5701	0.6485	0.4918	1.5564	0.9188	1.138	0.4327	0.2044	0.6729999999999999
TAG[FA12:0]	21.021	36.0013	18.7849	57.0146	108.5517	8.9128	2.2547	1.8368	43.0613	11.5746	3.0119	3.2910000000000004	4.2291	2.2413	9.9029	5.0306	7.6216	12.9667	100.2727	1.7666	6.9676	102.4676	11.8868	49.5264	9.4279	4.8976	10.7058	108.0509	431.8597	5.0729	4.1358	31.683000000000003	23.075	119.4092	50.6354	4.0163	5.0431	2.2382	2.2606	2.4774	48.9509	16.5371	8.6096	1.2332	9.6594	4.0144	24.4017	4.4764	5.3349	4.1848	5.7333	7.5603	1.1675	33.3113	9.8083	24.7948	13.6579	2.5397	6.1534
PC[FA16:0]	798.2958	1404.54	896.1397	1120.625	1081.608	1124.078	1194.029	710.9351	928.1221	1129.443	818.8804	788.547	944.732	1119.718	1431.477	1298.063	1133.098	1055.118	1011.145	1179.996	1214.61	1389.495	1350.8	1439.769	1339.2579999999996	1441.162	1428.306	989.7874	1248.995	1251.979	1409.431	1407.806	1317.079	1036.156	811.4705	850.7368	922.5513	1505.412	1199.273	1254.703	1472.461	1158.553	1290.1760000000004	1033.38	1072.917	879.1265	885.7421	707.8827	619.2489	991.8348	1010.132	1166.444	1040.266	1454.808	1279.132	1439.995	1519.0479999999998	1181.49	817.1781
DAG[FA22:4]	0.0861	0.1831	0.0919	0.0514	0.0422	0.0919	0.0652	0.0613	0.0885	0.0581	0.052000000000000005	0.0406	0.0774	0.0604	0.1382	0.0794	0.0894	0.0795	0.131	0.0477	0.0555	0.1179	0.1149	0.1095	0.0965	0.1043	0.1671	0.1052	0.1503	0.1526	0.1919	0.1151	0.1178	0.0763	0.0451	0.0626	0.0757	0.0785	0.0887	0.0502	0.1466	0.1506	0.086	0.0613	0.1294	0.1062	0.105	0.0541	0.0583	0.0755	0.0776	0.0608	0.0533	0.1317	0.1021	0.0994	0.0952	0.0611	0.066
FFA[FA20:2]	1.8387	1.6740000000000002	1.863	1.4136	1.7624	1.4917	2.4165	135.6151	100.5862	1.4852	2.4368	1.8582	2.5394	2.5541	1.6128	1.3259999999999998	2.5219	2.1413	1.3177	2.8206	2.5945	1.6112	1.6682	1.8036	1.9235	2.8983	85.2338	2.9508	1.5638	115.3367	122.6841	2.0399	2.1576	1.6093	1.4333	1.6944	1.6235	1.551	1.5004	3.1019	1.69	1.6814	2.3532	1.268	1.2497	1.1414	1.4798	1.843	1.6411	2.49	2.2674	1.5624	2.6716	1.7451	2.1107	1.4980000000000002	2.3686	2.649	1.8543
Total[FA22:6]	139.1885	137.9204	266.6145	96.1711	124.6388	153.9058	207.8317	130.5358	193.4584	98.95	117.7129	168.1993	89.7604	97.6561	273.8857	364.9796	109.2859	95.7262	307.3988	61.9986	64.6511	147.2116	131.6404	71.1607	94.2936	209.4911	168.5799	139.0908	128.2775	130.7401	143.0224	151.0161	136.2406	225.608	204.3252	60.6008	47.2447	213.0958	190.4117	65.9178	215.9744	140.804	173.4394	110.6588	162.2496	94.2436	96.7726	111.495	107.3072	107.3022	127.4522	69.4591	95.3346	116.5448	299.4111	250.7553	151.1686	125.7634	73.1945
TAG[FA20:3]	19.4877	36.2747	25.2804	15.9592	16.8534	11.4573	12.6988	7.8221	14.2002	14.6284	12.5726	9.666	19.6839	19.7077	34.8531	20.4861	16.4546	15.2962	22.7744	8.203	11.3405	21.2989	21.4929	22.8318	23.4809	22.5886	27.1993	21.5185	41.1221	27.2134	27.7703	17.9825	12.842	11.632	8.0641	9.9545	11.4436	7.1815	7.7939	12.6103	37.4926	43.3949	9.5299	9.4212	21.0245	20.8796	23.0595	14.3611	13.4665	17.7266	19.9312	13.9819	10.4406	31.0564	24.9405	29.0417	21.1143	11.6564	13.7891
PE[FA18:0]	76.4683	118.6648	89.5404	85.3142	78.7204	78.8251	98.2426	67.7456	71.3219	82.6215	52.9599	54.9182	69.1732	71.4004	96.8345	109.9329	125.3922	130.7675	126.5584	75.1036	65.2983	82.8977	95.7488	89.0372	100.5719	83.6023	96.2011	68.862	93.9115	94.0177	110.6107	108.9717	109.9924	80.6449	81.1805	57.3422	65.5176	97.2671	85.6687	86.1238	119.1543	122.2578	93.2375	86.7055	109.9683	74.092	74.7467	54.1301	64.7434	68.0985	90.3616	78.1531	95.9307	127.9946	94.8657	116.8584	101.3258	70.9062	75.9444
LCER[FA20:0]	0.044	0.0827	0.0574	0.0476	0.0558	0.0724	0.1051	0.0562	0.0494	0.0761	0.042	0.0375	0.0666	0.0562	0.0558	0.0673	0.0728	0.0925	0.0496	0.0918	0.0616	0.0578	0.0802	0.0689	0.0631	0.0513	0.0789	0.0594	0.0844	0.0378	0.0508	0.0996	0.1111	0.0665	0.0636	0.0508	0.059	0.0899	0.094	0.0782	0.069	0.0458	0.0995	0.1041	0.0856	0.0584	0.0538	0.0741	0.0602	0.0753	0.0754	0.0545	0.051	0.07400000000000001	0.0757	0.0696	0.0814	0.0874	0.0999
FFA[FA18:2]	67.9823	62.1834	55.8595	51.7463	40.5513	45.9046	115.7423	41.5152	71.6938	33.6572	100.8148	41.0069	116.501	105.9823	49.6193	24.0258	104.6577	101.4733	23.4265	177.5784	139.9548	72.907	91.1662	88.3977	84.1234	109.1126	158.6311	130.6697	51.8247	61.8839	72.2144	85.7537	106.1306	59.1408	28.5116	53.1283	46.7658	44.9171	40.7604	121.8217	78.7596	42.4465	89.6989	33.4974	19.6808	17.2164	34.098	54.1355	39.6499	102.1225	81.7539	70.4994	183.6624	88.2841	90.2902	44.804	77.2035	100.275	41.7321
CE[FA16:0]	209.7067	426.4257	249.9583	291.8742	314.0875	297.7712	364.4087	246.1128	334.6047	347.8694	261.9321	259.8607	267.2217	284.4404	438.2249	411.3436	291.4605	319.798	321.8033	215.8855	315.9163	368.5092	386.2435	362.0378	373.1983	450.4367	460.8003	282.4802	296.3972	348.5254	448.2922	402.2572	407.9603	367.8432	307.0416	244.821	283.0584	487.6733	461.8656	267.363	395.6453	284.4577	605.7502	331.1677	365.7866	241.9679	246.8075	223.1774	227.1646	349.9246	426.4836	315.686	271.1479	329.8547	320.1264	306.4331	454.3194	359.33	285.7684
SM[FA18:1]	5.7121	10.7088	7.8697	10.9502	12.0599	11.6554	12.9667	5.9883	8.1576	8.2231	7.4665	6.9644	8.685	9.0768	13.1184	12.0643	10.6017	8.7179	7.4793	7.607	7.5138	8.8643	8.0764	7.9647	7.8568	11.2946	15.3664	9.0961	8.0534	7.394	8.0379	14.8286	15.3664	9.4324	6.9868	7.5063	8.4831	15.4854	17.4511	10.9754	14.9255	12.3622	24.4891	11.333	14.0001	11.2357	10.5111	7.7888	8.5691	12.178	11.2398	6.7269	7.4673	9.2273	18.8683	10.4896	11.0543	10.8977	8.1494
PC[FA22:4]	5.9302	9.3051	4.4161	6.9034	7.0015	5.3739	5.6815	3.2533	2.1929	8.954	6.2974	5.375	9.4101	12.5585	13.8742	5.3176	13.5244	16.9926	5.6566	6.9725	9.4507	13.0031	14.3934	11.405	11.2642	9.5145	9.7451	6.807	13.8814	12.853	15.9025	16.0075	14.2107	4.6035	1.9864	8.3816	10.393	6.912000000000001	6.5232	10.3155	9.4227	9.4202	11.0076	5.4606	10.7986	7.019	7.6132	5.0553	3.4757	9.9511	9.9148	9.9802	9.2298	14.9259	7.3235	9.7766	11.0873	10.1507	7.8371
DAG[FA18:0]	2.9919	5.5545	2.8543	2.9376	2.4135	1.7242	1.7826	1.1989	2.1244	2.4132	1.1194	1.1281	1.5446	1.4489	4.0638	3.0487	1.987	1.8508	3.0715	1.2065	1.2833	3.5673	3.7819	3.0703	1.9274	2.6984	4.0602	4.1907	11.0394	2.4829	2.2934	2.4375	1.9292	3.6528	2.0708	1.002	1.3334	1.0071	0.9727	1.3043	4.5146	4.2601	1.3189	0.8542	2.0507	1.7459	2.2443	1.454	1.1811	2.2115	2.423	1.2471	1.0051	5.0375	3.167	5.8816	3.3395	1.2458	2.1625
LCER[FA20:1]	0.0265	0.0388	0.0232	0.0344	0.0291	0.0311	0.0404	0.0246	0.0272	0.0518	0.0286	0.0211	0.0349	0.0387	0.045	0.0355	0.0392	0.0397	0.0363	0.0441	0.0322	0.0357	0.0482	0.0548	0.0519	0.0291	0.0356	0.0418	0.0558	0.0292	0.0277	0.0502	0.0513	0.0427	0.0333	0.0264	0.0231	0.0453	0.0446	0.0444	0.057	0.0343	0.0412	0.043	0.0473	0.0314	0.0226	0.028	0.0285	0.0211	0.0354	0.0322	0.0279	0.0419	0.0346	0.0405	0.0418	0.035	0.0402
Total[FA24:1]	47.535	75.9277	60.9663	66.9603	74.4265	66.8029	78.6473	46.726000000000006	50.6375	68.4263	61.3665	55.5224	53.9514	56.5146	68.5377	67.0493	66.7786	64.6981	54.1063	73.7835	72.8519	63.1944	65.7081	61.7194	76.197	81.1674	78.975	59.7212	55.0597	50.2398	61.1942	71.9835	75.6644	77.9622	66.2871	63.9504	59.262	100.8516	90.1537	60.3814	77.0645	57.1547	99.1924	82.6945	79.1362	53.1278	49.5116	56.2136	53.3666	73.7084	81.2849	59.2459	62.6178	62.2604	56.8499	56.4402	83.4039	81.8896	72.0528
LPC[FA20:0]	0.3425	0.4831	0.3748	0.4422	0.3897	0.2682	0.3187	0.4133	0.2999	0.3978	0.34700000000000003	0.3365	0.3645	0.3712	0.3839	0.4267	0.3048	0.4107	0.3676	0.4998	0.5386	0.375	0.4026	0.3847	0.3939	0.3303	0.3741	0.2651	0.3626	0.4016	0.3593	0.3794	0.448	0.4320000000000001	0.5127	0.355	0.35200000000000004	0.4289	0.3604	0.3452	0.418	0.4162	0.3037	0.4364	0.3366	0.2326	0.3117	0.29100000000000004	0.3487	0.3805	0.3768	0.4308	0.4742	0.3361	0.3615	0.471	0.4337	0.3825	0.3745
MAG[FA16:0]	0.7405	0.5827	0.6194	0.7235	0.7086	0.4531	0.4337	0.4542	0.6378	0.4797	0.4912	0.4917	0.5203	0.605	0.5027	0.6325	0.6195	0.7091	0.5146	0.5979	0.6792	0.4798	0.5137	0.4872	0.7013	0.8044	0.8941	0.5548	0.5841	0.6658	0.862	0.7027	0.6679999999999999	0.8234	0.7027	0.6672	0.8912	0.5948	0.6139	0.5262	0.6752	0.8963	0.476	0.5871	0.6377	0.7407	0.8191	0.5048	0.5789	0.7473	0.8526	0.8278	0.9083	0.6251	0.6634	0.6867	0.6853	0.639	0.5825
